phi,subsystem,etaBefore,etaAfter,X0Before,X0After,deltaX0,deltaLambdaI,topVolume,topVolumeDeltaX0
1.5707963267949,EMCAL,-0.01,-0.005,20.26037854,0.3807325554,-19.87964599,-0.8018098869,CEMC_0_Tower_992,-10.02242041
0,EMCAL,-0.01,-0.005,20.26037854,0.3807325554,-19.87964599,-0.8018098869,CEMC_0_Tower_992,-10.02242041
1.5707963267949,EMCAL,0,0.005,0.3807325554,20.19574097,19.81500841,0.80100193,CEMC_0_Tower_1012,10.17483343
0,EMCAL,0,0.005,0.3807325554,20.19574097,19.81500841,0.80100193,CEMC_0_Tower_1012,10.17483343
1.5707963267949,OHCAL,-0.75,-0.745,17.11527747,32.73215131,15.61687384,1.637997515,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,15.61765741
1.5707963267949,OHCAL,-0.745,-0.74,32.73215131,44.25075851,11.5186072,1.2080462,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,11.51938459
1.5707963267949,EMCAL,1.05,1.055,27.03359168,20.31060269,-6.722988988,-0.2612654484,CEMC_0_Tower_1221,-4.963699003
0,EMCAL,1.05,1.055,27.03359168,20.31060269,-6.722988988,-0.2612654484,CEMC_0_Tower_1221,-4.963699003
0,EMCAL,1.035,1.04,20.14943224,26.7374599,6.588027663,0.2756448067,CEMC_0_Tower_1232,6.552979888
1.5707963267949,EMCAL,1.035,1.04,20.14943224,26.7374599,6.588027663,0.2756448067,CEMC_0_Tower_1232,6.552979888
0,EMCAL,-1.09,-1.085,29.61709746,23.20375171,-6.413345748,-0.2551079478,CEMC_0_Tower_762,-6.044001992
1.5707963267949,EMCAL,-1.09,-1.085,29.61709746,23.20375171,-6.413345748,-0.2551079478,CEMC_0_Tower_762,-6.044001992
0,OHCAL,0.74,0.745,44.49618102,38.70823738,-5.787943637,-0.6115705162,av_13_impr_23_OuterHCalSector_Steel_pv_0,-5.779173535
1.5707963267949,OHCAL,0.74,0.745,44.49618102,38.70823738,-5.787943637,-0.6115705162,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-5.779173535
0,OHCAL,-0.75,-0.745,38.71812681,44.49618102,5.778054203,0.6056278545,av_13_impr_23_OuterHCalSector_Steel_pv_0,5.779173535
1.5707963267949,EMCAL,-1.045,-1.04,25.59493981,20.114831,-5.480108817,-0.2448992926,CEMC_0_Tower_772,-5.374990386
0,EMCAL,-1.045,-1.04,25.59493981,20.114831,-5.480108817,-0.2448992926,CEMC_0_Tower_772,-5.374990386
0,EMCAL,0.735,0.74,23.38571244,18.04566977,-5.340042676,-0.2250764065,CEMC_0_Tower_1151,-4.546957948
1.5707963267949,EMCAL,0.735,0.74,23.38571244,18.04566977,-5.340042676,-0.2250764065,CEMC_0_Tower_1151,-4.546957948
1.5707963267949,EMCAL,-0.825,-0.82,24.79649588,19.48469399,-5.311801889,-0.1965741865,CEMC_0_Tower_822,-6.444448304
0,EMCAL,-0.825,-0.82,24.79649588,19.48469399,-5.311801889,-0.1965741865,CEMC_0_Tower_822,-6.444448304
1.5707963267949,EMCAL,1.005,1.01,26.82628821,21.66909961,-5.157188607,-0.1811516831,CEMC_0_Tower_1211,-4.362932949
0,EMCAL,1.005,1.01,26.82628821,21.66909961,-5.157188607,-0.1811516831,CEMC_0_Tower_1211,-4.362932949
1.5707963267949,EMCAL,-0.915,-0.91,25.42987695,20.41740796,-5.012468991,-0.1969885297,CEMC_0_Tower_802,-5.825181079
0,EMCAL,-0.915,-0.91,25.42987695,20.41740796,-5.012468991,-0.1969885297,CEMC_0_Tower_802,-5.825181079
